Date,ts1,ts2
2015-07-31,8492,8565
2015-07-30,8420,7539
2015-07-29,7029,7776
2015-07-28,6717,8751
2015-07-27,8739,10649
2015-07-26,0,0
2015-07-25,3288,5330
2015-07-24,4917,5464
2015-07-23,6109,6471
2015-07-22,4996,5649
2015-07-21,5168,5873
2015-07-20,5956,7152
2015-07-19,0,0
2015-07-18,3813,5987
2015-07-17,6728,6845
2015-07-16,8808,8113
2015-07-15,7932,7013
2015-07-14,8845,7841
2015-07-13,9117,10399
2015-07-12,0,0
2015-07-11,3707,5076
2015-07-10,6067,6007
2015-07-09,5602,6285
2015-07-08,5322,5621
2015-07-07,5365,6940
2015-07-06,6740,7758
2015-07-05,0,0
2015-07-04,3418,6223
2015-07-03,6535,8363
2015-07-02,8658,8395
2015-07-01,8523,8490
2015-06-30,9836,10447
2015-06-29,10444,13457
2015-06-28,0,0
2015-06-27,3611,7069
2015-06-26,5016,6549
2015-06-25,5956,6674
2015-06-24,5005,6888
2015-06-23,5501,5714
2015-06-22,4796,6121
2015-06-21,0,0
2015-06-20,3611,6179
2015-06-19,6773,7849
2015-06-18,7302,8098
2015-06-17,7751,8045
2015-06-16,8386,9078
2015-06-15,9937,11530
2015-06-14,0,0
2015-06-13,3456,6165
2015-06-12,5474,6429
2015-06-11,5703,6359
2015-06-10,5246,5849
2015-06-09,5273,7033
2015-06-08,6142,7884
2015-06-07,0,0
2015-06-06,3349,7157
2015-06-05,5904,9786
2015-06-04,7964,0
2015-06-03,7244,9984
2015-06-02,8143,10248
2015-06-01,10971,12227
2015-05-31,0,0
2015-05-30,4692,7474
2015-05-29,6451,7193
2015-05-28,6718,6335
2015-05-27,5573,5997
2015-05-26,6503,8048
2015-05-25,0,0
2015-05-24,0,0
2015-05-23,3199,6449
2015-05-22,6191,7668
2015-05-21,7441,7503
2015-05-20,6896,8374
2015-05-19,7358,8863
2015-05-18,8956,11031
2015-05-17,0,0
2015-05-16,3158,6937
2015-05-15,5772,8020
2015-05-14,0,0
2015-05-13,6012,7361
2015-05-12,5811,6634
2015-05-11,5752,6356
2015-05-10,0,0
2015-05-09,3670,7347
2015-05-08,6793,8538
2015-05-07,7733,7512
2015-05-06,7510,7978
2015-05-05,7511,8149
2015-05-04,9806,11827
2015-05-03,0,0
2015-05-02,4910,8120
2015-05-01,0,0
2015-04-30,9956,9717
2015-04-29,8158,7761
2015-04-28,8419,7906
2015-04-27,10468,11737
2015-04-26,0,0
2015-04-25,3213,6342
2015-04-24,5160,5811
2015-04-23,6125,6280
2015-04-22,4605,6034
2015-04-21,5244,6018
2015-04-20,5591,6429
2015-04-19,0,0
2015-04-18,3834,6685
2015-04-17,6049,8346
2015-04-16,8516,7644
2015-04-15,6489,7444
2015-04-14,8357,8416
2015-04-13,9881,11968
2015-04-12,0,0
2015-04-11,3546,6837
2015-04-10,5271,6089
2015-04-09,6309,6462
2015-04-08,6183,5985
2015-04-07,6784,6987
2015-04-06,0,0
2015-04-05,0,0
2015-04-04,4838,8664
2015-04-03,0,0
2015-04-02,10532,10330
2015-04-01,8872,9440
2015-03-31,8752,8927
2015-03-30,9514,11578
2015-03-29,0,0
2015-03-28,3502,6970
2015-03-27,5172,6346
2015-03-26,5508,6414
2015-03-25,5136,5594
2015-03-24,5581,6497
2015-03-23,5613,6882
2015-03-22,0,0
2015-03-21,2993,6622
2015-03-20,5853,8419
2015-03-19,8233,8188
2015-03-18,6737,7457
2015-03-17,7635,8692
2015-03-16,9339,11397
2015-03-15,0,0
2015-03-14,3414,6976
2015-03-13,4712,6214
2015-03-12,6036,5456
2015-03-11,4972,5868
2015-03-10,5538,5538
2015-03-09,4841,7172
2015-03-08,0,0
2015-03-07,3589,6224
2015-03-06,6260,8287
2015-03-05,8282,8004
2015-03-04,6805,8367
2015-03-03,8163,8222
2015-03-02,8923,10551
2015-03-01,0,0
2015-02-28,4103,7321
2015-02-27,6145,7042
2015-02-26,6350,6278
2015-02-25,5473,5991
2015-02-24,5368,5991
2015-02-23,4977,6713
2015-02-22,0,0
2015-02-21,3402,7470
2015-02-20,6002,7490
2015-02-19,7768,7615
2015-02-18,7449,7417
2015-02-17,7938,9308
2015-02-16,9169,9403
2015-02-15,0,0
2015-02-14,3765,7377
2015-02-13,5296,6309
2015-02-12,5694,5883
2015-02-11,5051,5880
2015-02-10,5070,6075
2015-02-09,5787,6314
2015-02-08,0,0
2015-02-07,3603,7299
2015-02-06,6205,7955
2015-02-05,7002,6611
2015-02-04,6877,6956
2015-02-03,8146,8929
2015-02-02,8679,10858
2015-02-01,0,0
2015-01-31,4063,7563
2015-01-30,6401,8072
2015-01-29,8403,7253
2015-01-28,6071,7038
2015-01-27,7804,7619
2015-01-26,7502,9209
2015-01-25,0,0
2015-01-24,2803,5410
2015-01-23,4517,6601
2015-01-22,5447,5905
2015-01-21,4670,5651
2015-01-20,5540,5778
2015-01-19,6083,6086
2015-01-18,0,0
2015-01-17,3571,7334
2015-01-16,6558,7773
2015-01-15,7242,7003
2015-01-14,6731,6748
2015-01-13,6463,6985
2015-01-12,8425,9529
2015-01-11,0,0
2015-01-10,2763,5544
2015-01-09,4593,6744
2015-01-08,6089,6548
2015-01-07,7262,7149
2015-01-06,7182,8505
2015-01-05,9390,10602
2015-01-04,0,0
2015-01-03,3250,6043
2015-01-02,5028,7073
2015-01-01,0,0
2014-12-31,3025,5063
2014-12-30,6463,7903
2014-12-29,7086,7684
2014-12-28,0,0
2014-12-27,3806,6096
2014-12-26,0,0
2014-12-25,0,0
2014-12-24,3738,4885
2014-12-23,7962,10636
2014-12-22,7248,11569
2014-12-21,0,0
2014-12-20,4339,9540
2014-12-19,7381,8996
2014-12-18,9008,9787
2014-12-17,8282,9415
2014-12-16,9550,10291
2014-12-15,10956,12767
2014-12-14,0,0
2014-12-13,4457,7674
2014-12-12,5008,6177
2014-12-11,6076,6451
2014-12-10,5649,6259
2014-12-09,6751,5380
2014-12-08,6852,7026
2014-12-07,0,0
2014-12-06,5486,7545
2014-12-05,8258,8834
2014-12-04,8417,7665
2014-12-03,7504,7785
2014-12-02,8470,8378
2014-12-01,10924,10854
2014-11-30,0,0
2014-11-29,5052,9096
2014-11-28,8094,9248
2014-11-27,9182,7656
2014-11-26,8065,7164
2014-11-25,7840,7689
2014-11-24,9339,9911
2014-11-23,0,0
2014-11-22,3591,6619
2014-11-21,4958,6359
2014-11-20,5759,5561
2014-11-19,5376,6112
2014-11-18,5834,6167
2014-11-17,6416,6184
2014-11-16,0,0
2014-11-15,3583,6430
2014-11-14,5749,8325
2014-11-13,7844,7101
2014-11-12,7146,6758
2014-11-11,7782,7003
2014-11-10,8504,9128
2014-11-09,0,0
2014-11-08,3274,7459
2014-11-07,7069,7416
2014-11-06,7378,7437
2014-11-05,6603,8249
2014-11-04,7805,8544
2014-11-03,9844,11562
2014-11-02,0,0
2014-11-01,3903,0
2014-10-31,6223,8383
2014-10-30,6677,6034
2014-10-29,5042,5615
2014-10-28,5477,5272
2014-10-27,5067,5824
2014-10-26,0,0
2014-10-25,3128,5969
2014-10-24,6330,6881
2014-10-23,6936,6343
2014-10-22,5869,7098
2014-10-21,6081,6977
2014-10-20,8561,9754
2014-10-19,0,0
2014-10-18,3355,5533
2014-10-17,4318,6110
2014-10-16,5516,4944
2014-10-15,4404,5378
2014-10-14,4754,4956
2014-10-13,5053,5550
2014-10-12,0,0
2014-10-11,3688,5948
2014-10-10,6394,7570
2014-10-09,7586,6628
2014-10-08,6783,7221
2014-10-07,6435,7855
2014-10-06,10198,9752
2014-10-05,0,0
2014-10-04,4208,7277
2014-10-03,0,0
2014-10-02,8234,8272
2014-10-01,6826,8402
2014-09-30,9061,8663
2014-09-29,8630,8992
2014-09-28,0,0
2014-09-27,3380,6313
2014-09-26,5186,5993
2014-09-25,5233,4950
2014-09-24,5021,5136
2014-09-23,5135,4841
2014-09-22,4737,5599
2014-09-21,0,0
2014-09-20,2626,5770
2014-09-19,5685,7345
2014-09-18,6552,5796
2014-09-17,6038,6152
2014-09-16,7046,7089
2014-09-15,8513,9517
2014-09-14,0,0
2014-09-13,3268,6620
2014-09-12,4859,5642
2014-09-11,5369,5152
2014-09-10,4117,5084
2014-09-09,4040,5228
2014-09-08,4844,6068
2014-09-07,0,0
2014-09-06,2823,5762
2014-09-05,5838,7752
2014-09-04,6689,6734
2014-09-03,6428,7865
2014-09-02,6897,8395
2014-09-01,9367,10494
2014-08-31,0,0
2014-08-30,3802,6326
2014-08-29,5373,6559
2014-08-28,5374,5369
2014-08-27,4563,4445
2014-08-26,4027,5430
2014-08-25,4894,5977
2014-08-24,0,0
2014-08-23,2910,5727
2014-08-22,5039,6972
2014-08-21,6594,6664
